DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,Urban Population (% of Total Population),Num_Households,median_income,Subsidy,old_age_pop
2000-01-01,100.552,2000,1,49335.0,178204700.0,4.3,169.3,4.0,74.25278,144.1,5.45,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-02-01,101.339,2000,2,49593.0,178284800.0,4.3,170.0,4.1,74.27563,144.7,5.73,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-03-01,102.126,2000,3,49851.0,178367900.0,4.3,171.0,4.0,74.22861,145.4,5.85,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-04-01,102.922,2000,4,50109.0,178536800.0,4.4,170.9,3.8,74.51271,145.6,6.02,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-05-01,103.678,2000,5,50080.666666666664,178770300.0,4.4,171.2,4.0,74.08559,144.9,6.27,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-06-01,104.424,2000,6,50052.333333333336,179073100.0,4.8,172.2,4.0,74.21468,145.0,6.53,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-07-01,105.054,2000,7,50024.0,179372600.0,4.1,172.7,4.0,73.83424000000001,144.4,6.54,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-08-01,105.768,2000,8,50079.333333333336,179444400.0,4.4,172.7,4.1,73.88336,143.7,6.5,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-09-01,106.537,2000,9,50134.666666666664,179618600.0,4.0,173.6,3.9,73.87006,143.4,6.52,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-10-01,107.382,2000,10,50190.0,179813100.0,4.0,173.9,3.9,73.89146,143.3,6.51,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-11-01,108.301,2000,11,50097.0,179924100.0,4.2,174.2,3.9,73.9265,142.7,6.51,79.057,104705.0,67470.0,19.69,12.3176296433869
2000-12-01,109.14,2000,12,50004.0,180064000.0,3.6,174.6,3.9,74.10823,142.5,6.4,79.057,104705.0,67470.0,19.69,12.3176296433869
2001-01-01,109.846,2001,1,49911.0,180348500.0,3.8,175.6,4.2,73.96539,142.0,5.98,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-02-01,110.501,2001,2,49975.666666666664,180507700.0,3.7,176.0,4.2,73.87317,142.4,5.49,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-03-01,111.109,2001,3,50040.333333333336,180597500.0,3.8,176.1,4.3,73.90696,142.4,5.31,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-04-01,111.651,2001,4,50105.0,180853700.0,3.9,176.4,4.4,73.55479,142.5,4.8,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-05-01,112.163,2001,5,49994.666666666664,181012800.0,4.0,177.3,4.3,73.3963,144.2,4.21,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-06-01,112.796,2001,6,49884.333333333336,181358100.0,4.2,177.7,4.5,73.14311,144.3,3.97,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-07-01,113.491,2001,7,49774.0,181602000.0,4.2,177.4,4.6,73.12476,143.4,3.77,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-08-01,114.167,2001,8,49777.0,181865000.0,4.4,177.4,4.9,72.57944,143.3,3.65,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-09-01,114.812,2001,9,49780.0,181987200.0,4.4,178.1,5.0,72.78493,143.0,3.07,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-10-01,115.31,2001,10,49783.0,182250900.0,4.3,177.6,5.3,72.46413000000001,142.3,2.49,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-11-01,115.856,2001,11,49885.666666666664,182519000.0,4.1,177.5,5.5,72.31775,142.1,2.09,79.234,108209.0,66360.0,20.573,12.2969453233527
2001-12-01,116.454,2001,12,49988.333333333336,182718800.0,3.8,177.4,5.7,72.23886999999999,141.7,1.82,79.234,108209.0,66360.0,20.573,12.2969453233527
2002-01-01,117.143,2002,1,50091.0,182669300.0,4.2,177.7,5.7,72.03242,142.0,1.73,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-02-01,117.844,2002,2,50156.0,182823900.0,4.0,178.0,5.7,72.33774,142.2,1.74,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-03-01,118.687,2002,3,50221.0,183081600.0,4.1,178.5,5.7,72.15491,143.2,1.73,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-04-01,119.61,2002,4,50286.0,183315500.0,4.3,179.3,5.9,71.90298,143.5,1.75,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-05-01,120.724,2002,5,50311.333333333336,183462600.0,4.0,179.5,5.8,72.01939,143.8,1.75,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-06-01,121.813,2002,6,50336.666666666664,183672200.0,4.2,179.6,5.8,71.84262,144.3,1.75,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-07-01,122.888,2002,7,50362.0,183870800.0,4.2,180.0,5.8,71.74495999999999,144.7,1.73,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-08-01,123.831,2002,8,50342.0,184126700.0,4.0,180.5,5.7,71.88376,145.1,1.74,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-09-01,124.78,2002,9,50322.0,184246500.0,3.9,180.8,5.7,72.0507,145.4,1.75,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-10-01,125.734,2002,10,50302.0,184457500.0,4.0,181.2,5.7,71.87473,145.0,1.75,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-11-01,126.669,2002,11,50355.333333333336,184790100.0,4.0,181.5,5.9,71.54903,144.6,1.34,79.409,109297.0,65820.0,24.183,12.2874577893554
2002-12-01,127.624,2002,12,50408.666666666664,184909000.0,4.0,181.8,6.0,71.57851,144.3,1.24,79.409,109297.0,65820.0,24.183,12.2874577893554
2003-01-01,128.461,2003,1,50462.0,185657900.0,4.0,182.6,5.8,71.59366999999999,144.4,1.24,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-02-01,129.356,2003,2,50573.333333333336,185828700.0,4.5,183.6,5.9,71.51604,145.2,1.26,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-03-01,130.148,2003,3,50684.666666666664,186121600.0,4.1,183.9,5.9,71.39416999999999,145.2,1.25,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-04-01,130.884,2003,4,50796.0,186476800.0,4.1,183.2,6.0,71.38895,145.9,1.26,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-05-01,131.734,2003,5,51034.666666666664,186699000.0,3.9,182.9,6.1,71.22121,145.8,1.26,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-06-01,132.649,2003,6,51273.333333333336,186893000.0,3.5,183.1,6.3,71.22983,146.1,1.22,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-07-01,133.77700000000002,2003,7,51512.0,187168900.0,3.6,183.7,6.2,71.00509,147.0,1.01,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-08-01,134.969,2003,8,51670.0,187380300.0,3.5,184.5,6.1,71.01493,147.2,1.03,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-09-01,136.29399999999998,2003,9,51828.0,187558100.0,3.8,185.1,6.1,70.9225,149.0,1.01,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-10-01,137.532,2003,10,51986.0,187716600.0,3.8,184.9,6.0,71.05285,149.6,1.01,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-11-01,138.79399999999998,2003,11,52050.333333333336,187913400.0,4.1,185.0,5.8,71.12961999999999,150.2,1.0,79.583,111278.0,65860.0,25.93,12.2779342993686
2003-12-01,140.18,2003,12,52114.666666666664,188027800.0,4.0,185.5,5.7,71.10183,149.7,0.98,79.583,111278.0,65860.0,25.93,12.2779342993686
2004-01-01,141.64600000000002,2004,1,52179.0,187568500.0,3.8,186.3,5.7,71.26099,150.0,1.0,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-02-01,143.191,2004,2,52275.666666666664,187831800.0,3.7,186.7,5.6,71.2038,153.4,1.01,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-03-01,145.058,2004,3,52372.333333333336,188106500.0,3.6,187.1,5.8,71.04695,156.5,1.0,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-04-01,146.592,2004,4,52469.0,188337000.0,4.0,187.4,5.6,71.19492,160.1,1.0,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-05-01,148.185,2004,5,52591.0,188540100.0,3.8,188.2,5.6,71.1423,162.7,1.0,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-06-01,149.85,2004,6,52713.0,188691100.0,3.9,188.9,5.6,71.10717,162.0,1.03,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-07-01,151.33700000000002,2004,7,52835.0,188782800.0,4.5,189.1,5.5,71.29605,162.2,1.26,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-08-01,152.63299999999998,2004,8,52970.666666666664,189028800.0,4.3,189.2,5.4,71.25815,165.9,1.43,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-09-01,154.17700000000002,2004,9,53106.333333333336,189280700.0,4.1,189.8,5.4,71.16184,167.2,1.61,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-10-01,155.75,2004,10,53242.0,189472000.0,3.9,190.8,5.5,71.22884,165.9,1.76,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-11-01,157.526,2004,11,53401.0,189647000.0,4.3,191.7,5.4,71.36224,165.5,1.93,79.757,112000.0,65760.0,27.201,12.3047192322804
2004-12-01,159.329,2004,12,53560.0,189848300.0,4.1,191.7,5.4,71.30622,166.3,2.16,79.757,112000.0,65760.0,27.201,12.3047192322804
2005-01-01,161.287,2005,1,53719.0,190032200.0,4.4,191.6,5.3,71.31763000000001,168.6,2.28,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-02-01,163.343,2005,2,53768.666666666664,190205800.0,4.3,192.4,5.4,71.23404000000001,170.4,2.5,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-03-01,165.812,2005,3,53818.333333333336,190429000.0,4.1,193.1,5.2,71.2822,170.0,2.63,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-04-01,167.50099999999998,2005,4,53868.0,190492000.0,4.3,193.7,5.2,71.41933,170.0,2.79,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-05-01,169.35,2005,5,53963.0,190682700.0,4.2,193.6,5.1,71.52475,168.1,3.0,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-06-01,171.19,2005,6,54058.0,190898800.0,4.3,193.7,5.0,71.48516,167.8,3.04,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-07-01,172.859,2005,7,54153.0,191054900.0,4.2,194.9,5.0,71.61997,167.2,3.26,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-08-01,174.44299999999998,2005,8,54207.666666666664,191192800.0,4.5,196.1,4.9,71.81331999999999,165.9,3.5,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-09-01,176.437,2005,9,54262.333333333336,191474900.0,4.7,198.8,5.0,71.69254000000001,168.9,3.62,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-10-01,178.02599999999998,2005,10,54317.0,191700900.0,4.5,199.1,5.0,71.70111999999999,171.6,3.78,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-11-01,179.68,2005,11,54520.333333333336,191993300.0,5.0,198.1,5.0,71.5667,172.7,4.0,79.928,113343.0,66780.0,27.651,12.3601628768533
2005-12-01,180.909,2005,12,54723.666666666664,192186100.0,4.9,198.1,4.9,71.63452,173.5,4.16,79.928,113343.0,66780.0,27.651,12.3601628768533
2006-01-01,182.32,2006,1,54927.0,192324600.0,5.3,199.3,4.7,71.68733,177.2,4.29,80.099,114384.0,67520.0,28.604,12.422071948027
2006-02-01,183.287,2006,2,54933.0,192511200.0,6.1,199.4,4.8,71.76971999999999,177.7,4.49,80.099,114384.0,67520.0,28.604,12.422071948027
2006-03-01,184.364,2006,3,54939.0,192616400.0,5.9,199.7,4.7,71.82037,178.3,4.59,80.099,114384.0,67520.0,28.604,12.422071948027
2006-04-01,184.328,2006,4,54945.0,192790800.0,6.3,200.7,4.7,71.79692,179.0,4.79,80.099,114384.0,67520.0,28.604,12.422071948027
2006-05-01,184.155,2006,5,54925.333333333336,192946500.0,6.2,201.3,4.6,71.87308,179.9,4.94,80.099,114384.0,67520.0,28.604,12.422071948027
2006-06-01,183.506,2006,6,54905.666666666664,193183900.0,6.3,201.8,4.6,72.01196,180.7,4.99,80.099,114384.0,67520.0,28.604,12.422071948027
2006-07-01,183.066,2006,7,54886.0,193412500.0,7.3,202.9,4.7,72.02161,182.3,5.24,80.099,114384.0,67520.0,28.604,12.422071948027
2006-08-01,182.595,2006,8,54996.0,193525200.0,6.7,203.8,4.7,72.10643,182.6,5.25,80.099,114384.0,67520.0,28.604,12.422071948027
2006-09-01,182.798,2006,9,55106.0,193585700.0,6.7,202.8,4.5,72.05553,183.3,5.25,80.099,114384.0,67520.0,28.604,12.422071948027
2006-10-01,183.197,2006,10,55216.0,193711000.0,7.3,201.9,4.4,72.24436999999999,182.3,5.25,80.099,114384.0,67520.0,28.604,12.422071948027
2006-11-01,183.608,2006,11,55230.666666666664,193924100.0,6.6,202.0,4.5,72.17598000000001,179.8,5.25,80.099,114384.0,67520.0,28.604,12.422071948027
2006-12-01,184.138,2006,12,55245.333333333336,194094700.0,6.5,203.1,4.4,72.31517,179.8,5.24,80.099,114384.0,67520.0,28.604,12.422071948027
2007-01-01,184.515,2007,1,55260.0,194823000.0,7.2,203.437,4.6,72.12127,181.1,5.25,80.269,116011.0,68610.0,29.512,12.507803700301
2007-02-01,184.597,2007,2,55331.333333333336,195053600.0,7.9,204.226,4.5,71.96506,181.5,5.26,80.269,116011.0,68610.0,29.512,12.507803700301
2007-03-01,184.149,2007,3,55402.666666666664,195154300.0,7.9,205.288,4.4,71.9968,182.5,5.26,80.269,116011.0,68610.0,29.512,12.507803700301
2007-04-01,183.009,2007,4,55474.0,195253300.0,7.4,205.904,4.5,71.71110999999999,183.7,5.25,80.269,116011.0,68610.0,29.512,12.507803700301
2007-05-01,181.6,2007,5,55532.333333333336,195415500.0,7.8,206.755,4.4,71.75715,184.0,5.25,80.269,116011.0,68610.0,29.512,12.507803700301
2007-06-01,180.253,2007,6,55590.666666666664,195665200.0,8.2,207.234,4.6,71.77502,184.0,5.25,80.269,116011.0,68610.0,29.512,12.507803700301
2007-07-01,179.109,2007,7,55649.0,195835800.0,8.3,207.603,4.7,71.7444,184.2,5.26,80.269,116011.0,68610.0,29.512,12.507803700301
2007-08-01,178.116,2007,8,55718.333333333336,195970200.0,9.2,207.667,4.6,71.58319,183.9,5.02,80.269,116011.0,68610.0,29.512,12.507803700301
2007-09-01,177.55599999999998,2007,9,55787.666666666664,196066400.0,9.2,208.547,4.7,71.71118,183.4,4.94,80.269,116011.0,68610.0,29.512,12.507803700301
2007-10-01,176.623,2007,10,55857.0,196111500.0,8.5,209.19,4.7,71.58436,183.0,4.76,80.269,116011.0,68610.0,29.512,12.507803700301
2007-11-01,175.146,2007,11,55737.0,196172500.0,9.4,210.834,4.7,71.77049,183.3,4.49,80.269,116011.0,68610.0,29.512,12.507803700301
2007-12-01,174.34099999999998,2007,12,55617.0,196412200.0,9.6,211.445,5.0,71.54935,183.5,4.24,80.269,116011.0,68610.0,29.512,12.507803700301
2008-01-01,173.13099999999997,2008,1,55497.0,196060500.0,9.3,212.174,5.0,71.67518000000001,184.3,3.94,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-02-01,171.53900000000002,2008,2,55566.333333333336,196236900.0,9.7,212.687,4.9,71.43571,185.7,2.98,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-03-01,170.051,2008,3,55635.666666666664,196376300.0,10.5,213.448,5.1,71.42354,187.8,2.61,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-04-01,168.33599999999998,2008,4,55705.0,196223300.0,10.3,213.942,5.0,71.41115,190.9,2.28,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-05-01,166.657,2008,5,55562.666666666664,196451400.0,10.7,215.208,5.4,71.2011,195.8,1.98,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-06-01,165.016,2008,6,55420.333333333336,196516300.0,10.7,217.463,5.6,71.1191,200.4,2.0,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-07-01,163.564,2008,7,55278.0,196571900.0,10.5,219.016,5.8,70.92175999999999,203.4,2.01,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-08-01,161.987,2008,8,54832.333333333336,196691100.0,11.3,218.69,6.1,70.70170999999999,206.5,2.0,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-09-01,160.306,2008,9,54386.666666666664,196839800.0,10.9,218.877,6.1,70.51942,206.3,1.81,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-10-01,158.326,2008,10,53941.0,196974900.0,11.6,216.995,6.5,70.36805,201.8,0.97,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-11-01,156.141,2008,11,53701.0,197132700.0,11.4,213.153,6.8,69.92603000000001,199.6,0.39,80.438,116783.0,66280.0,29.876,12.6708585039901
2008-12-01,153.618,2008,12,53461.0,197420200.0,11.2,211.398,7.3,69.55543,194.8,0.16,80.438,116783.0,66280.0,29.876,12.6708585039901
2009-01-01,151.507,2009,1,53221.0,197060700.0,12.2,211.933,7.8,69.04106,193.3,0.15,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-02-01,150.015,2009,2,53153.0,197286900.0,10.5,212.705,8.3,68.74854,191.2,0.22,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-03-01,148.66,2009,3,53085.0,197529900.0,11.0,212.495,8.7,68.23824,190.2,0.18,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-04-01,147.947,2009,4,53017.0,197854900.0,10.7,212.709,9.0,68.14273,188.1,0.15,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-05-01,147.692,2009,5,53038.333333333336,197951800.0,9.3,213.022,9.4,67.7751,186.9,0.18,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-06-01,148.088,2009,6,53059.666666666664,197608700.0,8.5,214.79,9.5,67.81062,187.1,0.21,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-07-01,148.407,2009,7,53081.0,197705800.0,7.9,214.726,9.5,67.68935,187.6,0.16,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-08-01,148.27700000000002,2009,8,53231.0,198050300.0,7.5,215.445,9.6,67.31915,188.1,0.16,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-09-01,148.024,2009,9,53381.0,198372700.0,7.8,215.861,9.8,66.88405999999999,189.3,0.15,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-10-01,147.85,2009,10,53531.0,198663200.0,7.4,216.509,10.0,66.61478000000001,189.7,0.12,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-11-01,148.135,2009,11,53581.666666666664,198711500.0,7.6,217.234,9.9,66.69274,189.2,0.12,80.606,117181.0,65850.0,32.883,12.8562585688817
2009-12-01,147.928,2009,12,53632.333333333336,198768600.0,8.0,217.347,9.9,66.43769,189.4,0.12,80.606,117181.0,65850.0,32.883,12.8562585688817
2010-01-01,147.39600000000002,2010,1,53683.0,198247600.0,8.1,217.488,9.8,66.7811,190.3,0.11,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-02-01,145.631,2010,2,53822.0,198432500.0,8.3,217.281,9.8,66.72559,192.2,0.13,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-03-01,145.858,2010,3,53961.0,198653600.0,7.1,217.353,9.9,66.73592,193.7,0.16,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-04-01,146.403,2010,4,54100.0,198995600.0,6.2,217.403,9.9,66.84048,196.5,0.2,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-05-01,146.394,2010,5,54200.333333333336,199087000.0,9.3,217.29,9.6,66.73340999999999,198.9,0.2,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-06-01,145.72,2010,6,54300.666666666664,198935200.0,8.3,217.199,9.4,66.73962,197.2,0.18,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-07-01,144.989,2010,7,54401.0,199015000.0,8.9,217.605,9.4,66.71658000000001,195.6,0.18,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-08-01,143.914,2010,8,54457.0,199221100.0,8.8,217.923,9.5,66.75956,194.1,0.19,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-09-01,143.017,2010,9,54513.0,199525500.0,7.6,218.275,9.5,66.64981,193.9,0.19,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-10-01,142.528,2010,10,54569.0,199859900.0,8.2,219.035,9.4,66.4639,193.8,0.19,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-11-01,142.16899999999998,2010,11,54493.0,199983700.0,8.2,219.59,9.8,66.38138000000001,193.6,0.19,80.772,117538.0,64300.0,32.669,13.0281784974361
2010-12-01,142.056,2010,12,54417.0,200022800.0,7.0,220.472,9.3,66.50759000000001,194.2,0.18,80.772,117538.0,64300.0,32.669,13.0281784974361
2011-01-01,141.518,2011,1,54341.0,199137100.0,7.3,221.187,9.1,66.6921,195.9,0.17,80.944,119927.0,63350.0,34.23,13.2702031218742
2011-02-01,140.345,2011,2,54430.666666666664,199346000.0,8.1,221.898,9.0,66.60165,198.1,0.16,80.944,119927.0,63350.0,34.23,13.2702031218742
2011-03-01,139.977,2011,3,54520.333333333336,199551500.0,7.2,223.046,9.0,66.6786,199.7,0.14,80.944,119927.0,63350.0,34.23,13.2702031218742
2011-04-01,140.00799999999998,2011,4,54610.0,199937200.0,6.7,224.093,9.1,66.54593,201.1,0.1,80.944,119927.0,63350.0,34.23,13.2702031218742
2011-05-01,139.904,2011,5,54567.333333333336,200041600.0,6.6,224.806,9.0,66.53560999999999,201.6,0.09,80.944,119927.0,63350.0,34.23,13.2702031218742
